sample_id,ml_E0_g_per_L,ml_k_d,fit_E0_g_per_L,fit_k_d,true_E0_g_per_L,true_k_d,ml_E0_g_per_L_mae,ml_k_d_mae,fit_E0_g_per_L_mae,fit_k_d_mae,ml_powder_activity_frac_derived,fit_powder_activity_frac_derived,true_powder_activity_frac_derived,ml_rmse,ml_mae,ml_r2,fit_rmse,fit_mae,fit_r2,true_time_to_thresh,ml_time_to_thresh,fit_time_to_thresh
54,1.0160674902644375,0.004075543172322126,0.9890355673486657,0.0014647631849323182,0.9720267905176089,2.871406473236804e-05,0.04404069974682867,0.004046829107589758,0.017008776831056838,0.00143604912019995,0.7480741041384598,0.7281719994927407,0.715649381052235,0.05147290087308237,0.049332039091565145,0.8546382967784761,0.01685942629540152,0.0161858442370254,0.984405254274094,3.6824911079413645,3.6571838862758694,3.6722186258446383
55,0.006719157897786876,0.0025878064185017426,0.17462210722070223,2.1545574358309707e-12,0.17915373517196362,0.0035965121818528523,0.17243457727417674,0.0010087057633511097,0.0045316279512613855,0.003596512179698295,0.006145825522746829,0.15972195023818528,0.1638669033924531,0.7642904419798304,0.7600903567581958,-29.703788554469735,0.13729145992056843,0.1292232357248679,0.009254391189938427,7.22805382659347,241.35053779668078,7.318024401696924
56,0.5854812092976153,0.0020134559674515667,1.0135025414003014,0.002712338587327691,1.019490318997845,0.00404484048903391,0.43400910970022977,0.002031384521582343,0.005987777597543653,0.0013325019017062186,1.0,1.0,1.0,0.031752569612703264,0.017291490109082378,0.949941079739085,0.02271994363534086,0.021843285508655007,0.9743706127284903,4.1537781092831265,4.746803083420725,4.155987134112731
57,0.9242920631610054,0.004315485668970246,0.7400965106061784,0.0030549244337480246,0.7353621505153866,0.001054736388620971,0.18892991264561887,0.0032607492803492753,0.004734360090791867,0.0020001880451270535,1.0,1.0,1.0,0.03088700373831012,0.028935541605851822,0.9279001984582481,0.02636780506032461,0.02531589046312427,0.9474551125053929,3.1157698526612467,2.9557718720172415,3.1146080780070378
58,0.4727530216041589,0.002337952222154677,0.4615167488130779,0.001868097705011202,0.46424737158225493,0.0028500052009423705,0.008505650021903954,0.0005120529787876935,0.0027306227691770157,0.0009819074959311685,0.6927109876021215,0.6762468101851999,0.6802479107784591,0.009439924921180362,0.009256243702930232,0.9947126257595,0.015772928890186614,0.015077710356310609,0.9852385961800127,3.797039305458776,3.780207545861776,3.799978416362994
59,1.25,0.005,0.9412784382824031,0.0004340699924130791,1.1780434714276387,0.004910449182539499,0.07195652857236134,8.955081746050107e-05,0.23676503314523556,0.00447637919012642,0.5295321462878338,0.398749753342513,0.49904951027635835,0.0031336913045441925,0.0027447897859513154,0.9990706205913124,0.03892595926296582,0.03683408276882294,0.8565966593246264,2.8022042193030954,2.767075413176037,2.94033835329561
60,1.25,0.005,1.1921976407737755,0.0005516057667491155,1.1972857548757323,0.0015079301612607211,0.0527142451242677,0.003492069838739279,0.005088114101956753,0.0009563243945116056,0.50654927536601,0.4831254808216182,0.48518738523067884,0.03445916031607851,0.03312139172410888,0.93603023848168,0.008934895250152328,0.00862716917616439,0.9956992491761325,3.6130370743745543,3.593325574946599,3.6140756350235406
61,1.25,0.005,1.1851950440368377,4.638484045583206e-08,1.2107721534873177,0.003075903502405542,0.039227846512682296,0.001924096497594458,0.025577109450479973,0.003075857117565086,0.7046291874426164,0.6680984166725544,0.6825163189519324,0.013793670821887743,0.013294533876972546,0.9801073668583803,0.021426505747634172,0.020720993249931725,0.9520006604480076,2.4415571294033565,2.428064458363334,2.448400615875375
62,0.009415973089368701,0.002597769304828516,0.12570023886050105,0.0006397572474358689,0.12657675175970237,0.002068571763269781,0.11716077867033367,0.0005291975415587348,0.0008765128992013205,0.001428814515833912,0.0051686824174639965,0.06900026245857252,0.06948140410668295,0.7069490966970714,0.7051118571642176,-16.849779930453266,0.07956125380273502,0.07396026527411517,0.7739212124793104,13.470339236214217,234.79552491410277,13.43720113113
63,0.5059708468996379,0.0022183116282955473,0.6106104707719546,0.0002345388972167272,0.6134565836751726,0.002205104212067559,0.10748573677553475,1.3207416227988163e-05,0.002846112903218012,0.0019705653148508317,0.27429549121660246,0.33102242955040506,0.3325653562657083,0.015496486291820861,0.013904610960221421,0.9891033064972558,0.030718659980308503,0.029487336025782348,0.9571813671899638,4.12605153075418,4.295564098458972,4.125766990861448
